name,ingredients,health-info,diet,image
Loaded Zucchini,"['2 large zucchini', '¼ teaspoon salt, divided', '¼ teaspoon ground pepper, divided', '⅓ cup shredded extra-sharp Cheddar cheese', '2 scallions, sliced, divided', '2 slices cooked bacon, chopped, divided', '8 teaspoons reduced-fat sour cream']",['Immuno-Supportive'],['Low-Carb'],https://www.edamam.com/web-img/4c5/4c5d626640a3ac4c3f4bbe5d3ce92fc0
Low-Carb Breakfast Enchiladas,"['Cooking spray, for pan', '8 large eggs', '1/4 c. milk', 'Kosher salt', 'Freshly ground black pepper', '4 tbsp. butter, divided', '6 slices bacon, chopped', '2 c. baby spinach', '1 1/2 c. black beans', '1 c. quartered cherry tomatoes', '1/2 c. enchilada sauce', '1/2 c. shredded cheddar cheese', '1/2 c. shredded Monterey Jack', 'Cilantro, for serving', 'Chopped avocado, for serving', 'Pico de gallo, for serving']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/167/1675fea1bd86a2765ec3d0f3329e5654.jpg
Low Carb Zucchini Muffins,"['4 tablespoons wheat bran', '1 1/2 cups soy flour plus 2 tablespoons', '1/2 cup small diced zucchini, with skin on', '3 eggs', '3/4 cup heavy cream', '1/2 cup club soda', '1/3 cup sugar substitute (recommended: Splenda)', '1 1/2 teaspoons baking powder']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/fbe/fbe55d2d56e02edb363a7aebac2b017a.jpeg
Low-Carb Cabbage Enchiladas,"['1 head green cabbage', '1 tbsp. extra-virgin olive oil', '1 large onion, chopped', '1 red bell pepper, chopped', 'Kosher salt', '2 cloves garlic, minced', '2 tsp. ground cumin', '2 tsp. chili powder', '3 c. cooked and shredded chicken', '1 1/3 c. red enchilada sauce, divided', '2 tbsp. chopped cilantro, plus more for garnish', '1 c. shredded Monterey jack', '1/2 c. shredded cheddar', 'Sour cream, for drizzling']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/9f1/9f1f45e1af100e3ebb545d9b876d5787.jpg
Low Carb Cannoli Parfaits,"['1-ounce unsweetened chocolate, chopped', '1/2 cup sugar substitute (recommended: Splenda)', '1 tablespoon hot water', '1 tablespoon heavy cream', '1 cup heavy cream', '1/3 cup sugar substitute (recommended: Splenda)', '1/4 teaspoon real almond extract', '1 teaspoon no sugar added vanilla extract', '1/3 cup whole milk ricotta cheese']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/dd1/dd1b05270157c74f26fbb54632e54935.jpeg
Turkey Spaghetti Zoodles,"['4 medium zucchini, spiralized', '1 1/4 pounds pounds ground turkey breast', '1 cup green bell pepper, diced', '1 tablespoon minced garlic', '1/4 teaspoon red pepper flakes', '2 cups baby spinach', '1 teaspoon extra virgin olive oil', '3 cups marinara sauce (I use an organic, no salt added, low sugar one)', '2 teaspoons Italian seasoning', '1/4 teaspoon salt', '1/2 teaspoon pepper']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/a14/a14a269da525b9ee49eec696332ea72f.jpg
Mojito Popsicles,"['2 cups water', '1/2 cup lime juice', '1/4 teaspoon stevia', '20 mint leaves, cut into ribbons']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Fat'],https://www.edamam.com/web-img/252/252780db6bae6748ae3f262eaf817d58.jpg
Low-Carb Chicken Pot Pies,"['Cooking spray', '2 small heads (or 1 large head) of cauliflower, riced and steamed', '1/2 c. freshly grated Parmesan', '3 large eggs, lightly beaten', 'Kosher salt', 'Freshly ground black pepper', '2 tbsp. butter', '1 medium carrot, peeled and diced', '1 celery stalk, diced', '1/2 medium onion, chopped', '2 cloves garlic, minced', 'Kosher salt', 'Freshly ground black pepper', '2 tbsp. all-purpose flour', '1 c. low-sodium chicken broth', '1 c. heavy cream', '1 1/2 c. cooked and cubed chicken', '1/2 c. frozen corn', '1/2 c. frozen peas', 'Freshly chopped parsley, for garnish']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/f7b/f7bad33fd6b5ce3176e3c90be82c2425.jpg
Pesto Shrimp Skewers,"['Garlic powder-1 tbsp', 'Pepper- 1 tbsp', 'Salt', 'oil-1 tbsp', 'basil leaves- 1 tbsp', 'Parmesan cheese- 1 tbsp', 'Shrimp- 10-20 pieces', 'oil spray']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/a33/a332121eaa60a84c93174a5ee54e06b2.jpg
Low Carb Blueberry Muffins,"['Vegetable oil cooking spray', '2 tablespoons wheat (or oat) bran and 1 tablespoon soy flour, mixed together', '1 cup soy flour', '1/2 cup sugar substitute (recommended: Splenda)', '1 teaspoon baking powder', '2 eggs', '1/2 cup heavy cream', '1/3 cup club soda', '1/2 cup blueberries (if not sweet, sprinkle with 1 tablespoon of sugar substitute)']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/b5e/b5ea63ceeb042180a4377e4c1f1e867b.jpeg
Cherry Tomato Zucchini Noodles,"['3 medium zucchini', '200 grams cherry tomatoes', '4 cloves garlic', 'olive oil', 'salt, pepper to taste', 'fresh basil leaves', '2 tablespoons breadcrumbs (or grated Parmesan / vegan substitute)']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Balanced'],https://www.edamam.com/web-img/b20/b202d945a88bc5508a2c7673f7ab8ce5.jpg
Mediterranean Shrimp & Rice Soup,"['Spray olive oil', '1 1/2 lb. raw shrimp, peeled and deveined (VEG option: portobello mushroom, eggplant)', 'pinch of sea salt & pepper', '1 tbsp. olive oil', '1 tbsp. fresh garlic, minced', '1 c. diced white onion', '1 tbsp. dried thyme', '5 c. low-sodium chicken stock or broth (or vegetable broth)', '1 (14.5-oz) can diced fire-roasted tomatoes', '2 c. cooked brown rice (LOW CARB swap - 3 cups frozen or raw cauliflower rice)', '2 bay leaves', '1 c. diced bell pepper (I used a combination of yellow, red, and orange)', '4 c. raw spinach', 'Lemon juice, for garnish', 'Fresh chopped parsley, for garnish']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/e4d/e4d87194e98151dd8d5bcb98e2a1d84a.jpg
Low Carb Lettuce Burgers,"['1/4 cup Greek yogurt', '2 tablespoons adobo sauce (from canned chipotles in adobo)', '1 tablespoon Dijon mustard', '2 dashes Worcestershire sauce', '2 pounds ground chuck', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '5 dashes Worcestershire sauce', '1 head iceberg, green leaf or butter lettuce', '2 avocados, sliced', '1 tomato, sliced', '1/4 red onion, thinly sliced into rings', '12 small sweet pickles, chopped']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/ec5/ec5afe5bb0b49139ae8302986c63b47c.jpeg
Low Carb Southern Fried Chicken,"['3 to 6 cups vegetable oil (more or less depending on pot used)', '1 whole chicken, cut into 8 pieces, or 3 pounds boneless chicken breast', '3 eggs', '1/4 cup heavy cream or water', '2 1/3 cups soy flour', '2 teaspoons salt', '1 teaspoon black pepper', '1 teaspoon garlic powder', '1 teaspoon poultry seasoning']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/358/358f14da4be0b9a616085026b724bd74.jpeg
"Chicken, Pepper, and Bean &quot;Mexitalian&quot; Casserole","['2 cups low sodium chicken broth', '1 tablespoon cornstarch', '1 large jalapeno pepper, quartered with seeds left in', '1/8 cup currants', '12 ounces lower sodium tomato paste', '2-3 tablespoons chili powder', '1 tablespoon cumin seeds', '1 teaspoon dry mustard', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1 teaspoon oregano leaves', '1/2 teaspoon jalapeno powder', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground cloves', '1 bay leaf', '4 ounces cream cheese', '1/2 cup sour cream', '2 cups red sauce (above)', '1.5 pounds boneless-skinless chicken breast, sliced into strips, boiled in water for 15 minutes, cooled and shredded', '24 ounces roasted red peppers, drained', '15 ounces black beans, drained and rinsed', '16 ounces refried black beans', '2 cups Mexican cheese mix', '2 cups shredded mozzarella']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/83e/83e89353ecf35d0de8afb154d5e22956.jpg
Low Carb Beefed-Up Meatloaf,"['1 (8-ounce) can tomato sauce', '1 (6-ounce) can tomato paste', '1/4 cup sugar substitute (recommended: Splenda)', '2 teaspoons white vinegar or water', '2 pounds ground chuck (may use meat loaf mix with ground pork)', '2 eggs', '1/2 cup grated Parmesan', '1/4 cup red onion, diced small', '1/4 cup roasted or fresh red bell peppers, diced', '2 tablespoons chopped fresh parsley leaves', '2 cloves garlic, minced', '1/2 teaspoon dried oregano', '1/2 teaspoon dried basil', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '1/4 pound prosciutto, or any type of ham, thinly sliced', '1/4 pound provolone cheese, sliced']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/999/999db924691fe0041ddfa02f7ec7bb00.jpeg
Low Carb Deep-fried Onion Rings,"['3 to 6 cups vegetable oil (more or less depending on pot size)', '3 eggs', '1/4 cup heavy cream or water', '3 large yellow onions', '2 1/3 cups soy flour', '2 teaspoons salt', '1 teaspoon black pepper', '1 teaspoon garlic powder', '1 teaspoon poultry seasoning']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/79e/79ee4710d123ad7f9c35371d2a8d122d.jpeg
Low Carb New York Ricotta Cheesecake,"['24 ounces cream cheese, softened', '1 cup extra-fine whole milk ricotta cheese (to refine, process in a food processor for 1 minute)', '1/2 cup sour cream', '1 1/2 cups sugar substitute (recommended: Splenda)', '1/3 cup heavy cream', '1 tablespoon no sugar added vanilla extract', '1 tablespoon fresh lemon juice', '2 eggs', '3 egg yolks']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/f56/f56c652dd15d0cff623c23c5062ce196.jpeg
Low Carb Sausage and Spinach Lasagna Casserole,"['1 package (13.5 ounces) Johnsonville® Three Cheese Italian Style Split Rope Sausage, sliced', '1 carton (15 ounces) ricotta cheese', '2 eggs, beaten', '1/2 cup grated Parmesan cheese', '1 package (10 ounces) frozen chopped spinach, thawed and well drained', '2 cup marinara sauce', '3/4 cup shredded mozzarella cheese']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/641/641a1e1fdf734cee3e8c8894a133f02d.jpeg
Low Carb Quick Chocolate Almond Ice Cream,"['2 tablespoons sliced almonds', '1 cup heavy cream', '1/2 cup sugar substitute (recommended: Splenda)', '1 teaspoon no sugar added vanilla extract', '1/8 teaspoon no sugar added almond extract', '1 tablespoon unsweetened cocoa powder', '2 tablespoons whole milk ricotta cheese']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/720/72007f34893f327fe1666be2099072ff.jpeg
Low Carb Turkey and Swiss BLT Roll-Ups,"['4 teaspoons heavy mayonnaise', '1 head iceberg lettuce (4 outer leaves only)', '1/4 pound sliced turkey (no sugar added)', '1/4 pound precooked bacon strips (8 slices)', '1 tomato, thinly sliced to make 8 slices', '1/4 pound sliced Swiss cheese']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/da8/da844b86a536c89f09d5d71281045958.jpeg
Strawberry Shortcake Martinis,"['2 pints strawberries, cleaned and sliced', '1/4 cup sugar substitute (recommended: Splenda)', '1 recipe Low Carb Zucchini Muffins, recipe follows', 'Low Carb Fresh Whipped Cream, recipe follows', '1 pint whole strawberries', 'Few sprigs fresh mint', '4 tablespoons wheat bran', '1 1/2 cups soy flour plus 2 tablespoons', '1/2 cup small diced zucchini, with skin on', '3 eggs', '3/4 cup heavy cream', '1/2 cup club soda', '1/3 cup sugar substitute (recommended: Splenda)', '1 1/2 teaspoons baking powder', '1 cup heavy cream', '1/3 cup sugar substitute (recommended: Splenda)', '1 teaspoon no sugar added vanilla extract']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/74a/74a0bf923217036d9f2bfd64bb14c48a.jpeg
"Asparagus, Canadian Bacon, and Cheese Frittata: Low Carb","['5 large eggs', '4 tablespoons freshly grated Parmesan', '2 tablespoons milk', '1/4 teaspoon freshly grated lemon zest', '1 teaspoon kosher salt', 'Freshly ground black pepper', '1 tablespoon extra-virgin olive oil', '4 ounces medium asparagus stalks (about 8), woody stems trimmed, cut into 1/2-inch pieces', '4 medium slices Canadian bacon (about 2 ounces), coarsely chopped']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/05c/05c95ee0d29d651f70a943428158deef.jpeg
Veggie Tortilla Pizza,"['1 tablespoon olive oil', '1 medium zucchini, finely chopped', '1 medium yellow squash, finely chopped', '2 cloves garlic, minced', '1/2 medium onion, finely chopped', '1 package (10 count) low-carb whole wheat tortillas', '3 ounces herbed goat cheese (optional)', '1/2 cup shredded low-fat mozzarella', '1 bunch fresh basil, chopped', 'Salt and pepper to taste']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Balanced'],https://www.edamam.com/web-img/05c/05c02229ed7b2166f3b8fbea475b0685.jpeg
Grandma&#39;s Cauliflower Erisherri,"['.5 Head of cauliflower', '1 teaspoon Turmeric powder', '1.5 teaspoons Kosher salt', '1 cup Freshly grated coconut', '4 Hot green chillies', '1 tablespoon Cumin seeds', '1 teaspoon Mustard seeds', '2 Dried chillies', '5 Curry Leaves', '1 tablespoon Coconut oil (or any cooking oil)']","['Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/de3/de378b5a212984a3eedb1824813b007d.jpeg
Turkey & Cheddar Lettuce Wraps,"['¼ cup mayonnaise', '3 tablespoons chopped dill pickle', '2 teaspoons whole-grain mustard', '8 large green-leaf lettuce leaves', '12 ounces sliced deli turkey', '4 ounces sliced deli sharp Cheddar cheese', '8 slices tomato']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/11e/11e2a6c3ab116d2033e0e7fae313ad79
Chicken Cutlets with Lemony Arugula Salad Recipe,"['2 tbsp. olive oil', '8 small chicken cutlets (about 1 1⁄4 lb total)', 'Kosher salt and black pepper', '1 package baby arugula (about 6 cups)', '1 tbsp. fresh lemon juice', '2 oz. Parmesan']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/1e3/1e31720f74840430c3ebca442b0d31dd.jpg
Quark &amp;amp; Avocado Zoodles,"['2 ripe avocados, more for serving', '2-3 large zucchinis, julienned', '3 tablespoons olive oil, extra for drizzling', '3/4 cup plain Wünder quark', '1/3 cup fresh basil leaves', '1/4 cup shaved parmesan cheese', '1/2 teaspoon red pepper flakes', 'salt \\u0026amp; pepper to taste']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/f77/f77edd4d926c29825fbc6a77b18f36bb.jpg
Slow Cooker Garlic Parmesan Spaghetti Squash,"['1 small (1-2 pound) spaghetti squash', '6 tablespoons unsalted butter', '3 cloves garlic, minced', '1/4 cup heavy cream', '1/3 cup freshly grated parmesan', 'chopped fresh parsley leaves for garnish', 'salt and pepper to taste']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/522/522ecd8885c41f05544a75efae0e6771.jpg
Healthy tuna lettuce wraps,"['2 drops rapeseed oil , for brushing', '2 x 140g fresh tuna fillets, defrosted', '1 ripe avocado', '½ tsp English mustard powder', '1 tsp cider vinegar', '1 tbsp capers', '8 romaine lettuce leaves', '16 cherry tomatoes , preferably on the vine, halved']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/4db/4db92c12e0326ff4750a70ed86060693.jpg
Salmon and Green Bean Salad with Dill,"['Olive oil for the salmon', 'Salt and pepper', '1½ pounds salmon fillet', '1 pound steamed green beans', '4 scallions, chopped, including some of the firm green', '1 tablespoon chopped fresh dill', '2 tablespoons fresh lemon juice', '¼ cup extra virgin olive oil', '1 teaspoon lemon thyme leaves or 1 tablespoon chopped parsley']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/dd5/dd5702fa76fdd43ad457b690e3c158d6.jpg
"Pizza (GF, NF, LC)","['1 pre-cooked pizza crust (9x13 in) (see recipe elsewhere)', '1 cup marinara/red sauce (see recipe elsewhere)', '4-6 ounces shredded mozzarella', '2-3 ounces finely grated parmigiano reggiano', '24 slices pepperoni (pork or turkey)', '1 tablespoon oregano leaves', '1 tablespoon basil leaves', '1 tablespoon red pepper flakes', '1 pre-cooked pizza crust (9x13 in) (see recipe elsewhere)', '0.5 pounds Italian sausage', '1 sweet onion, finely diced', '1 red bell pepper, finely diced', '1 tablespoon garlic, finely diced', '1 teaspoon fennel seed', '1 teaspoon oregano leaves', '1 teaspoon basil leaves', '4-6 ounces shredded low-salt swiss cheese', '2-3 ounces shaved parmigiano reggiano']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/6db/6db594343f56fdcd6f49f9dbbcc11651.jpg
Cheesy Asparagus,"['1 ½ pounds fresh asparagus, trimmed', '⅓ cup heavy cream', '2 cloves garlic, minced', '½ teaspoon ground pepper', '¼ teaspoon salt', '1 cup shredded part-skim mozzarella cheese', '¼ cup finely grated Parmesan cheese', '¼ teaspoon crushed red pepper']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/17d/17d97734c214185ed3d19eaa1b9ccf03
Sautéed Mushrooms with Sherry & Shallots,"['2 tablespoons extra-virgin olive oil', '½ cup sliced shallots', '1 pound button mushrooms, sliced', '1 ½ teaspoons finely chopped fresh rosemary', '½ teaspoon salt', '½ teaspoon ground pepper', '¼ cup sherry', '2 tablespoons crumbled Parmesan cheese (optional)']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free']",[],https://www.edamam.com/web-img/34d/34db68de29d026d39832119c8552498e
Cloud Bread,"['3 large eggs, divided', '1/4 teaspoon cream of tartar', '3 tablespoons plain yogurt', '1/2 teaspoon dried rosemary', '1/2 teaspoon garlic powder', '1/4 teaspoon kosher salt', '1 teaspoon honey', '1/2 teaspoon ground cinnamon']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/ca8/ca8b8f60dfae0aeed6475cbb214b7b8a.jpg
Cauliflower Latkes,"['1 (12 ounce) package cauliflower rice, cooked according to package directions', '1 large egg, lightly beaten', '⅓ cup cornstarch', '½ teaspoon salt', '½ teaspoon ground pepper', '¼ cup canola oil, divided', 'Sour cream and chopped fresh chives for garnish']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/d08/d08f762e5d34efa43bfa8050eb9ea0b8
Ice Cream Sandwich Dessert,"['2 tablespoons brewed coffee', '1 (1-ounce) sugar-free milk chocolate bar', '1 (8-ounce) container frozen fat-free whipped topping, thawed', '14 (0.3-ounce) sugar-free fudge-dipped wafers (such as Murray), chopped and divided', '6 (2.3-ounce) reduced-fat, no-sugar-added ice cream sandwiches']","['Vegetarian', 'Peanut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/0a3/0a31d1aff8587e6c4ad1afe4cf1ef7e8.jpg
Keto Key Lime Mousse,"['2 cups heavy cream', '1/2 teaspoon powdered whole leaf stevia', '16 drops lime essential oil', '6 egg whites, room temperature', 'zest of 1 lime']","['Sugar-Conscious', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/5ab/5abdca7341b24b5144fd8f28c61d3251.jpg
Hard-Boiled Egg BLTs,"['6 large eggs', '4 slices thick-cut bacon, cooked and cut into thirds', '1 cup loosely packed baby spinach', '2 small tomatoes, thinly sliced', '¼ cup mashed avocado', '2 tablespoons mayonnaise', '2 teaspoons lemon juice', '¼ teaspoon salt', '¼ teaspoon ground pepper, plus more for garnish']","['Sugar-Conscious', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/c3b/c3bf0488217bd8a843e7f9a45ea50d7b
Loaded Spaghetti Squash,"['1 (3 pound) spaghetti squash, halved lengthwise and seeded', '¼ cup water', '½ teaspoon salt', '½ teaspoon ground pepper', '1 cup shredded extra-sharp Cheddar cheese', '3 scallions, sliced, divided', '2 slices cooked bacon, chopped, divided', '6 tablespoons reduced fat sour cream']",[],[],https://www.edamam.com/web-img/e5f/e5f1f292b61367ed17452ab2752e561c
20-Minute Chicken Cutlets & Zucchini Noodles with Creamy Tomato Sauce,"['1 pound chicken cutlets', '¼ teaspoon salt, divided', '¼ teaspoon ground pepper, divided', '1 tablespoon extra-virgin olive oil', '½ cup finely chopped red onion', '½ cup dry white wine', '½ cup heavy cream', '1 medium plum tomato, chopped', '2 (10 ounce) packages zucchini noodles']","['Peanut-Free', 'Tree-Nut-Free']",['Balanced'],https://www.edamam.com/web-img/179/179eb6cc0df4923a344ba88e73577e20
Loaded Portobello Mushrooms,"['2 tablespoons extra-virgin olive oil', '½ teaspoon garlic powder', '¼ teaspoon salt', '¼ teaspoon ground pepper', '4 portobello mushrooms (about 14 ounces), stems and gills removed (see Tip)', '¾ cup shredded extra-sharp Cheddar cheese', '⅓ cup sour cream', '2 scallions, thinly sliced, divided', '4 slices cooked bacon, chopped']","['Sugar-Conscious', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/c84/c842d42c414bd3e1af254d815adbee0b
Philly Cheesesteak-Stuffed Portobello Mushrooms,"['4 large portobello mushrooms, stems and gills removed (see Tip)', '3 tablespoons extra-virgin olive oil, divided', '1 cup thinly sliced onion', '3 cups thinly sliced bell peppers', '½ teaspoon ground pepper, divided', '¼ teaspoon salt, divided', '8 ounces beef strip loin, thinly sliced', '3 ounces sliced provolone cheese', 'Chopped parsley for garnish']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/cd5/cd56a6a18e007acf7a2f00644d4d5b24
Cheesy Mushroom Gratin,"['18 portobello mushroom caps (about 3 1/2 lbs.), stems and gills removed (see Tip)', '2 tablespoons extra-virgin olive oil', '½ teaspoon ground pepper', '¼ teaspoon salt', '1 cup shredded part-skim mozzarella cheese', '⅓ cup shredded Gruyère cheese', '1 teaspoon chopped fresh thyme', '1 tablespoon chopped fresh flat-leaf parsley, divided', '⅓ cup whole-wheat panko breadcrumbs']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/bb3/bb3a82780280876183c3c77445642c90
Roasted Cauliflower Steak & Spanakopita Melts,"['2 medium heads cauliflower', '2 tablespoons extra-virgin olive oil, divided', '¼ teaspoon salt', '¼ cup chopped shallot', '1 (11 ounce) package baby spinach', '2 teaspoons chopped fresh dill', '2 teaspoons chopped fresh parsley', '1 clove garlic, grated', '¼ teaspoon ground pepper', '½ cup part-skim ricotta cheese', '6 tablespoons crumbled feta cheese', '½ cup shredded smoked Cheddar cheese']","['Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",['Low-Carb'],https://www.edamam.com/web-img/ae2/ae28dc5371e8feebfd2b1884f47527fd
Sausage and Onion Roast,"['5 Tablespoons extra-virgin olive oil', '2 2/3 Pounds pork sausages', '6 red onions, peeled, halved, and sliced', '6 leeks, trimmed and thickly sliced', 'Small bunch thyme (about 15 sprigs)', 'Sea salt and freshly ground black pepper']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/fe3/fe39308991d5da837f8de1894d1df489.jpg
Turkey Lettuce Taco Wraps,"['1 Pound Foster Farms Organic Ground Turkey', '1 Teaspoon Spices, paprika', '1 Teaspoon salt', '1 Teaspoon Spices, chili powder', '1 Teaspoon Spices, garlic powder', '1 Teaspoon cumin', '1/2 Teaspoon Spices, oregano, dried', '2 Tablespoons bell peppers, minced', '1/2 small onion, minced', '3/4 Cups water', '4 Ounces tomato sauce', '8 large leaves of lettuce', 'olive oil spray', 'sour cream', '1/2 Cup reduced fat shredded cheddar cheese']","['Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free']",[],https://www.edamam.com/web-img/298/298d9803f691eed2be3328acd403054c.jpg
Roasted Peppers & Onions,"['1 medium red bell pepper, sliced', '2 medium yellow bell peppers, sliced', '1 medium orange bell pepper, sliced', '1 large red onion, cut into 12 wedges', '2 tablespoons extra-virgin olive oil', '¾ teaspoon salt', '½ teaspoon ground pepper', '1 tablespoon lemon juice', '2 tablespoons chopped fresh flat-leaf parsley', '2 tablespoons roughly chopped fresh basil']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Peanut-Free', 'Tree-Nut-Free', 'Alcohol-Free', 'Immuno-Supportive']",[],https://www.edamam.com/web-img/62b/62bcce3502d0b35ae1cf3ae582cd0684
Steak with Peanut Sauce and Broccoli,"['2 garlic cloves', '1 piece fresh ginger (1 inch long)', '1/2 cup smooth peanut butter', '1/4 cup plus 1 tablespoon soy sauce', '1/4 cup plus 1 tablespoon rice vinegar', '1 tablespoon light-brown sugar', '1/4 teaspoon red-pepper flakes', '1 1/2 pounds flank steak', '2 pounds broccoli (about 2 heads)', '4 scallions', '2 tablespoons vegetable oil', 'Coarse salt']","['Tree-Nut-Free', 'Alcohol-Free']",['Low-Carb'],https://www.edamam.com/web-img/13c/13c709c3bcc7e105f8537a9fb92fdc67.jpg
